address/city,address/state,address/streetAddress,address/subdivision,address/zipcode,bathrooms,bedrooms,currency,homeStatus,livingArea,price,yearBuilt
Princeton,NJ,243 Cherry Hill Rd,,8540,4,4,USD,FOR_SALE,,940000,1933
Princeton,NJ,17 Leavitt Ln,,8540,2,4,USD,FOR_SALE,2065,1175000,1957
Princeton,NJ,1267 Great Rd,,8540,6,5,USD,FOR_SALE,3835,2100000,1945
Princeton,NJ,292 Stockton St,,8540,2,3,USD,FOR_SALE,,995000,1950
Princeton,NJ,94 Harris Rd,,8540,4,6,USD,FOR_SALE,3028,1245000,1961
Princeton,NJ,117 Meadowbrook Dr,,8540,3,5,USD,FOR_SALE,3394,1199000,1960
Princeton,NJ,14 Journeys End Ln,,8540,4,4,USD,FOR_SALE,3727,1350000,1979
Princeton,NJ,69 Leavitt Ln,,8540,2,3,USD,FOR_SALE,,875000,1951
Princeton,NJ,502 Cherry Valley Rd,,8540,6,7,USD,FOR_SALE,6600,1995000,2009
Princeton,NJ,1141 Stuart Rd,,8540,5,3,USD,FOR_SALE,4336,3280000,1992
Princeton,NJ,11 Governors Ln,,8540,4,4,USD,FOR_SALE,2890,999900,1997
Princeton,NJ,149 Highland Ter,,8540,6,6,USD,FOR_SALE,4928,1339000,1990
Princeton,NJ,527 Brickhouse Rd,,8540,2,2,USD,FOR_SALE,1644,575000,1993
Princeton,NJ,20 Governors Ln,,8540,4,4,USD,FOR_SALE,3071,999000,1996
Princeton,NJ,240 N Harrison St,,8540,3,4,USD,FOR_SALE,1819,779000,1950
Princeton,NJ,128 Laurel Rd,,8540,6,6,USD,FOR_SALE,,1765000,2020
Princeton,NJ,19 Derwent Dr,,8540,7,5,USD,FOR_SALE,,2150000,2000
Princeton,NJ,629 Lawrenceville Rd,,8540,5,5,USD,FOR_SALE,3753,1150000,1980
Princeton,NJ,518 State Rd,,8540,4,4,USD,FOR_SALE,3667,1098000,1991
Princeton,NJ,135 Crestview Dr,,8540,3,5,USD,FOR_SALE,3274,1200000,1960
Princeton,NJ,64 Cleveland Ln,,8540,8,6,USD,FOR_SALE,10643,5650000,1966
Princeton,NJ,628 Cherry Valley Rd,,8540,3,4,USD,FOR_SALE,2449,795000,1917
Princeton,NJ,25 Palmer Sq W APT B,,8542,1,1,USD,FOR_SALE,635,450000,1932
Princeton,NJ,184 Mansgrove Rd,,8540,5,5,USD,FOR_SALE,4673,1599500,2020
Princeton,NJ,21 Leigh Ave,,8542,4,3,USD,FOR_SALE,,899000,1920
Princeton,NJ,536 State Rd,,8540,5,4,USD,FOR_SALE,3263,1175500,2020
Princeton,NJ,133 Ridgeview Cir,,8540,5,5,USD,FOR_SALE,4112,1600000,1973
Princeton,NJ,468 State Rd,,8540,6,5,USD,FOR_SALE,,2450000,1998
Princeton,NJ,212 Ross Stevenson Cir,,8540,4,4,USD,FOR_SALE,1784,799000,1985
Princeton,NJ,21 Palmer Sq W APT D,,8542,1,,USD,FOR_SALE,272,299900,1932
Princeton,NJ,303 Witherspoon St #3,,8542,3,2,USD,FOR_SALE,,799000,2020
Princeton,NJ,5 Meetinghouse Ct,,8540,4,4,USD,FOR_SALE,3415,1230000,2000
Princeton,NJ,70 Pine St,,8542,3,3,USD,FOR_SALE,1782,978500,1975
Princeton,NJ,210 Brooks Bnd,,8540,7,6,USD,FOR_SALE,6205,1725000,1988
Princeton,NJ,719 Great Rd,,8540,4,5,USD,FOR_SALE,,1499000,1830
